	ckiptagger	pkuseg	fastHan	PyNLPIR	stanza	spacy	ltp	jiagu	lac	snownlp	target	char	sent
7048	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	100
7049	I	n	VA	a	NOUN	VERB	a	a	an	Ag	VA	孤	100
7050	I	n	VA	a	NOUN	VERB	a	a	an	Ng	VA	单	100
7051	EXCLAMATIONCATEGORY	w	PU	wt	PUNCT	PUNCT	wp	w	w	Dg	PU	！	100
7052	VE	w	PU	wyy	PUNCT	PUNCT	wp	w	w	Dg	PU	”	100
7053	PARENTHESISCATEGORY	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	101
7054	Na	n	NN	n	NOUN	PROPN	n	n	n	n	NN	土	101
7055	Na	n	NN	n	NOUN	PROPN	n	n	n	n	NN	豆	101
7056	D	d	AD	d	AUX	ADV	d	v	v	d	AD	也	101
7057	SHI	v	VC	vshi	AUX	VERB	v	v	v	a	VC	是	101
7058	VH	a	VV	a	VERB	VERB	a	a	v	a	VV	活	101
7059	T	u	SP	ude1	PART	PART	u	u	u	u	SP	的	101
7060	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	101
7061	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	医	102
7062	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	生	102
7063	P	p	P	p	VERB	ADP	p	p	p	p	P	在	102
7064	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	医	102
7065	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	院	102
7066	Nc	f	LC	f	ADP	PART	nd	nd	f	f	LC	里	102
7067	Nc	d	AD	d	ADV	ADV	d	d	d	d	AD	毕	102
7068	VG	d	AD	d	ADV	ADV	d	d	d	d	AD	竟	102
7069	VG	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	102
7070	Na	n	NN	rr	PRON	NOUN	r	r	n	r	NN	自	102
7071	Na	n	NN	rr	PRON	NOUN	r	r	n	r	NN	己	102
7072	Na	n	NN	n	PART	NOUN	r	n	n	n	NN	人	102
7073	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	102
7074	D	d	AD	d	ADV	ADV	d	d	v	d	AD	就	102
7075	P	v	P	v	VERB	ADP	v	v	v	p	P	像	102
7076	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	商	102
7077	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	店	102
7078	Nc	f	LC	f	NOUN	PART	nd	nd	f	f	LC	里	102
7079	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	102
7080	Na	n	NN	n	VERB	NOUN	n	n	n	n	NN	售	102
7081	Na	n	NN	n	VERB	NOUN	n	n	n	n	NN	货	102
7082	Na	n	NN	n	PART	NOUN	n	n	n	n	NN	员	102
7083	Nep	r	VA	rzv	PRON	VERB	r	r	r	r	VA	那	102
7084	FW	r	VA	rzv	PRON	VERB	r	r	r	r	VA	样	102
7085	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	102
7086	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	图	103
7087	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	案	103
7088	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	103
7089	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	线	103
7090	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	条	103
7091	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	变	103
7092	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	动	103
7093	T	y	AS	y	PART	PART	u	u	xc	y	AS	了	103
7094	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	103
7095	D	d	AD	d	ADV	ADV	d	d	d	d	AD	又	103
7096	VC	d	VE	v	VERB	VERB	v	v	v	v	VE	没	103
7097	Di	v	AS	ule	PART	PART	v	u	v	u	AS	了	103
7098	Na	n	NN	n	ADJ	NOUN	n	n	n	n	NN	透	103
7099	Na	n	NN	n	ADJ	NOUN	n	n	n	n	NN	明	103
7100	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	度	103
7101	DASHCATEGORY	w	PU	wp	NOUN	PUNCT	wp	w	w	w	PU	—	103
7102	DASHCATEGORY	w	PU	wp	PUNCT	PUNCT	wp	w	w	w	PU	—	103
7103	Nb	a	VA	a	ADJ	VERB	a	a	a	a	VA	荒	103
7104	Nb	a	VA	a	ADJ	VERB	a	a	a	a	VA	凉	103
7105	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	103
7106	Nb	n	NN	n	NOUN	NOUN	n	n	n	n	NN	石	103
7107	Nb	n	NN	n	NOUN	NOUN	n	n	n	n	NN	墙	103
7108	Na	f	NN	f	NOUN	NOUN	nd	nd	f	f	NN	中	103
7109	Na	f	NN	f	NOUN	NOUN	nd	nd	f	f	NN	间	103
7110	Neu	d	CD	m	NUM	ADV	m	d	d	d	CD	一	103
7111	Nf	d	M	qv	NOUN	ADV	q	d	d	d	M	道	103
7112	VH	v	JJ	vn	NOUN	VERB	v	v	v	v	JJ	交	103
7113	VH	v	JJ	vn	NOUN	VERB	v	v	v	v	JJ	叉	103
7114	Nc	n	NN	n	NOUN	NOUN	v	v	n	n	NN	路	103
7115	Nc	n	NN	n	NOUN	NOUN	v	v	n	n	NN	口	103
7116	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	103
7117	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	道	103
7118	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	路	103
7119	Na	d	AD	d	ADP	ADV	p	d	d	p	AD	从	103
7120	D	d	AD	d	ADV	ADV	p	d	d	d	AD	不	103
7121	VH	v	VV	v	VERB	VERB	v	v	v	a	VV	透	103
7122	VH	v	VV	v	VERB	VERB	v	v	v	a	VV	光	103
7123	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	103
7124	Na	n	NN	n	NOUN	NOUN	n	n	n	an	NN	窗	103
7125	Na	n	NN	n	NOUN	NOUN	n	n	n	an	NN	子	103
7126	Caa	c	CC	cc	CCONJ	CCONJ	c	c	c	c	CC	和	103
7127	VI	a	JJ	a	ADJ	ADJ	a	a	a	a	JJ	陌	103
7128	VI	a	JJ	a	ADJ	ADJ	a	a	a	a	JJ	生	103
7129	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	103
7130	Na	n	NN	n	NOUN	NOUN	nl	n	s	vd	NN	门	103
7131	Ncd	n	LC	f	NOUN	NOUN	nl	nd	s	vd	LC	旁	103
7132	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	穿	103
7133	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	过	103
7134	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	103
7135	Nh	r	PN	rr	PROPN	PRON	r	r	r	r	PN	您	104
7136	VC	v	VV	v	PROPN	VERB	v	v	v	v	VV	瞧	104
7137	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	104
7138	FW	r	PN	rzv	PRON	ADV	r	r	r	r	PN	这	104
7139	SHI	r	VC	vshi	AUX	ADV	v	vl	v	d	VC	是	104
7140	Nb	v	NR	v	PROPN	VERB	nz	v	v	d	NR	托	104
7141	Nb	v	NR	v	PROPN	VERB	nz	v	v	v	NR	考	104
7142	Nb	j	NR	b	PROPN	PROPN	nz	n	nz	j	NR	伊	104
7143	Nb	a	JJ	a	PART	PROPN	nz	a	nz	a	JJ	甜	104
7144	Na	n	NN	gms	NOUN	NOUN	nz	n	nz	n	NN	葡	104
7145	Na	n	NN	gms	NOUN	NOUN	nz	n	nz	n	NN	萄	104
7146	Na	n	NN	gms	PART	NOUN	nz	n	nz	n	NN	酒	104
7147	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	104
7148	A	b	JJ	b	ADJ	ADJ	b	a	a	b	JJ	真	104
7149	A	b	JJ	b	ADJ	ADJ	b	a	a	b	JJ	正	104
7150	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	104
7151	Nb	ns	NR	nsf	PROPN	NOUN	ns	ns	LOC	ns	NR	匈	104
7152	Nb	ns	NR	nsf	PROPN	NOUN	ns	ns	LOC	ns	NR	牙	104
7153	Nb	ns	NR	nsf	PROPN	NOUN	ns	ns	LOC	ns	NR	利	104
7154	Nb	n	NN	n	PART	NOUN	ns	n	n	n	NN	货	104
7155	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	104
7156	P	p	P	p	VERB	ADP	p	p	p	p	P	在	104
7157	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	我	104
7158	FW	r	PN	rr	PRON	PRON	r	r	r	r	PN	们	104
7159	VH	a	JJ	a	ADJ	ADJ	a	a	a	a	JJ	偏	104
7160	VH	a	JJ	a	ADJ	ADJ	a	a	a	a	JJ	僻	104
7161	Na	n	NN	n	PART	NOUN	n	n	n	n	NN	地	104
7162	Na	n	NN	n	ADV	NOUN	n	n	n	n	NN	方	104
7163	Na	r	AD	ryv	VERB	ADV	r	r	r	r	AD	为	104
7164	Na	r	AD	ryv	PRON	ADV	r	r	r	r	AD	什	104
7165	Na	r	AD	ryv	PRON	ADV	r	r	r	r	AD	么	104
7166	D	d	AD	d	ADV	ADV	d	d	d	d	AD	不	104
7167	VH	v	VV	v	VERB	VERB	d	v	v	v	VV	运	104
7168	VH	v	VV	vf	VERB	VERB	d	v	v	v	VV	来	104
7169	QUESTIONCATEGORY	w	PU	ww	PUNCT	PUNCT	wp	w	w	w	PU	？	104
7170	D	c	AD	c	ADV	ADV	c	d	d	d	AD	甚	105
7171	D	c	AD	c	ADV	ADV	c	d	d	d	AD	至	105
7172	Neu	m	CD	m	NUM	NUM	m	m	m	Vg	CD	一	105
7173	Na	q	M	q	NOUN	NUM	q	q	m	Vg	M	盏	105
7174	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	煤	105
7175	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	油	105
7176	Na	n	NN	n	PART	NOUN	n	n	n	n	NN	灯	105
7177	SHI	l	VC	vl	AUX	ADV	i	vl	v	l	VC	是	106
7178	T	l	SP	vl	PART	ADV	i	u	u	l	SP	的	106
7179	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	106
7180	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	106
7181	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	说	106
7182	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	106
7183	FW	d	AD	d	ADV	ADV	d	d	d	d	AD	总	106
7184	SHI	d	AD	d	ADV	ADV	d	d	d	d	AD	是	106
7185	V_2	r	VE	vyou	VERB	VERB	r	r	r	r	VE	有	106
7186	Na	r	NN	n	NOUN	VERB	r	r	r	r	NN	人	106
7187	FW	v	VV	vf	NOUN	VERB	v	vd	v	v	VV	来	106
7188	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	106
7189	Cbb	c	AD	c	ADV	ADV	c	c	c	c	AD	然	107
7190	Na	c	AD	c	ADV	ADV	c	c	c	c	AD	后	107
7191	D	ad	AD	ad	ADV	ADV	a	d	ad	ad	AD	突	107
7192	D	ad	AD	ad	ADV	ADV	a	d	ad	ad	AD	然	107
7193	P	p	P	p	VERB	ADP	p	p	p	p	P	在	107
7194	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	笔	107
7195	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	记	107
7196	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	本	107
7197	Ncd	v	LC	f	VERB	PART	nd	nd	f	f	LC	上	107
7198	VA	v	VV	v	VERB	VERB	v	v	v	v	VV	写	107
7199	VA	v	VV	vf	VERB	VERB	v	vd	v	v	VV	起	107
7200	FW	v	VV	vf	VERB	VERB	v	vd	v	v	VV	来	107
7201	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	107
7202	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	你	108
7203	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	开	108
7204	D	v	VV	v	VERB	VERB	v	v	v	v	VV	始	108
7205	P	p	P	p	ADP	ADP	p	p	p	p	P	向	108
7206	VH	a	NN	happ	NOUN	NOUN	a	a	a	a	NN	幸	108
7207	VH	a	NN	happ	NOUN	NOUN	a	a	a	a	NN	福	108
7208	FW	v	VV	vi	VERB	VERB	v	v	nz	y	VV	飞	108
7209	FW	v	VV	vi	VERB	VERB	v	v	nz	y	VV	腾	108
7210	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	108
7211	FW	r	DT	rz	DET	DET	r	r	r	r	DT	这	109
7212	FW	r	DT	rz	NOUN	DET	r	r	r	r	DT	个	109
7213	Nc	ns	NR	nsf	VERB	PROPN	ns	ns	LOC	ns	NR	土	109
7214	Nc	ns	NR	nsf	VERB	PROPN	ns	ns	LOC	ns	NR	耳	109
7215	Nc	ns	NR	nsf	PRON	PROPN	ns	ns	LOC	ns	NR	其	109
7216	Na	n	NN	n	NOUN	NOUN	ns	n	n	nr	NN	臣	109
7217	Na	n	NN	n	NOUN	NOUN	ns	n	n	nr	NN	民	109
7218	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	109
7219	Na	n	NN	n	NOUN	NOUN	n	nt	n	n	NN	后	109
7220	Na	n	NN	n	NOUN	NOUN	n	nt	n	n	NN	代	109
7221	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	109
7222	Na	n	NN	n	NUM	NOUN	n	nt	n	n	NN	一	109
7223	Na	n	NN	n	NOUN	NOUN	n	nt	n	n	NN	生	109
7224	Ng	f	LC	f	ADP	PART	nd	nd	f	f	LC	中	109
7225	Dfa	v	VV	v	VERB	VERB	v	v	v	v	VV	更	109
7226	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	换	109
7227	Di	u	AS	ule	PART	PART	u	u	u	u	AS	了	109
7228	D	m	CD	m	NUM	ADJ	m	mq	m	m	CD	多	109
7229	VH	m	M	q	NOUN	ADJ	m	mq	m	m	M	种	109
7230	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	职	109
7231	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	业	109
7232	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	109
7233	VE	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	110
7234	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	它	110
7235	FW	v	VV	v	AUX	VERB	v	vu	v	v	VV	会	110
7236	P	p	VV	p	VERB	VERB	v	p	v	p	VV	在	110
7237	Ncd	r	PN	rys	PRON	PRON	r	r	v	r	PN	哪	110
7238	Na	r	PN	rys	PRON	PRON	r	r	v	r	PN	儿	110
7239	T	y	SP	y	PART	PART	u	u	xc	y	SP	呢	110
7240	QUESTIONCATEGORY	w	PU	ww	PUNCT	PUNCT	wp	w	w	w	PU	？	110
7241	I	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	111
7242	I	v	IJ	e	PROPN	INTJ	e	e	xc	nx	IJ	嗯	111
7243	D	m	CD	d	PROPN	NUM	m	m	xc	m	IJ	一	111
7244	I	q	IJ	e	AUX	INTJ	m	e	xc	nx	IJ	嗯	111
7245	Neu	m	CD	d	NUM	NUM	m	m	xc	m	IJ	一	111
7246	I	q	IJ	e	NOUN	INTJ	m	e	xc	nx	IJ	嗯	111
7247	ETCCATEGORY	w	PU	ws	PART	PUNCT	wp	w	w	w	PU	…	111
7248	ETCCATEGORY	w	PU	ws	PART	PUNCT	wp	w	w	w	PU	…	111
7249	FW	r	AD	rz	ADV	ADV	r	i	v	r	AD	这	111
7250	FW	r	AD	rz	ADV	ADV	r	i	v	r	AD	么	111
7251	FW	v	VV	v	VERB	VERB	r	i	v	v	VV	说	111
7252	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	111
7253	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	您	111
7254	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	111
7255	Nb	a	JJ	a	ADJ	NOUN	a	a	a	a	JJ	圣	111
7256	Nb	a	JJ	a	ADJ	NOUN	a	a	a	a	JJ	洁	111
7257	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	111
7258	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	神	111
7259	Na	n	NN	n	NOUN	NOUN	n	n	n	Ng	NN	父	111
7260	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	111
7261	D	v	VV	v	AUX	VERB	v	vu	v	v	VV	可	111
7262	D	v	VV	v	AUX	VERB	v	vu	v	v	VV	能	111
7263	SHI	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	111
7264	FW	q	M	q	NOUN	NUM	q	q	q	q	M	个	111
7265	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	党	111
7266	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	员	111
7267	FW	n	SP	y	NOUN	PART	u	u	xc	y	SP	喽	111
7268	EXCLAMATIONCATEGORY	w	PU	wt	PUNCT	PUNCT	wp	w	w	w	PU	！	111
7269	VE	w	PU	wyy	PUNCT	PUNCT	wp	w	w	w	PU	”	111
7270	FW	r	PN	rzv	PRON	VERB	r	r	r	r	PN	这	112
7271	SHI	r	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	112
7272	VH	a	VA	a	NOUN	ADJ	a	a	a	Ng	VA	典	112
7273	VH	a	VA	a	NOUN	ADJ	a	a	a	Ng	VA	型	112
7274	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	112
7275	FW	n	NN	nl	PROPN	NOUN	i	n	n	nx	NN	纨	112
7276	FW	n	NN	nl	PROPN	NOUN	i	n	n	k	NN	绔	112
7277	Na	n	NN	nl	NOUN	NOUN	i	n	n	n	NN	子	112
7278	Na	n	NN	nl	NOUN	NOUN	i	n	n	n	NN	弟	112
7279	VC	n	NN	n	NOUN	NOUN	i	n	n	n	NN	作	112
7280	Na	n	NN	n	NOUN	NOUN	i	n	n	n	NN	风	112
7281	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	112
7282	VC	v	VV	v	VERB	VERB	v	v	v	h	VV	打	112
7283	VC	v	VV	v	VERB	VERB	v	v	v	h	VV	劫	112
7284	VH	v	VA	a	ADJ	VERB	v	a	a	a	VA	可	112
7285	VH	v	VA	a	ADJ	VERB	v	a	a	a	VA	怜	112
7286	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	112
7287	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	寡	112
7288	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	妇	112
7289	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	112
7290	VE	w	PU	wyy	PUNCT	PUNCT	wp	w	w	w	PU	”	112
7291	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	我	113
7292	Na	f	NN	f	NOUN	NOUN	nd	nl	f	Ng	NN	身	113
7293	Na	f	NN	f	NOUN	NOUN	nd	nl	f	f	NN	后	113
7294	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	113
7295	Na	n	NN	n	NOUN	NOUN	n	n	n	m	NN	桁	113
7296	Na	n	NN	n	NOUN	NOUN	n	n	n	q	NN	架	113
7297	P	p	P	p	VERB	ADP	d	p	p	p	P	在	113
7298	D	n	AD	o	NOUN	NOUN	o	o	xc	Tg	AD	嗡	113
7299	D	n	AD	o	NOUN	NOUN	o	o	xc	Tg	AD	嗡	113
7300	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	作	113
7301	FW	v	VV	a	VERB	VERB	v	v	v	v	VV	响	113
7302	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	113
7303	Nb	nr	NR	nrf	PROPN	PROPN	nh	j	PER	o	NR	伊	114
7304	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	o	NR	波	114
7305	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	o	NR	里	114
7306	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	o	NR	特	114
7307	Nb	nr	NR	nrf	PUNCT	PROPN	nh	w	PER	w	NR	·	114
7308	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	o	NR	马	114
7309	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	o	NR	特	114
7310	Nb	nr	NR	nrf	PROPN	PROPN	nh	nhf	PER	o	NR	韦	114
7311	Nb	nr	NR	nrf	PROPN	PROPN	nh	u	PER	o	NR	耶	114
7312	Nb	nr	NR	nrf	PROPN	PROPN	nh	v	PER	o	NR	维	114
7313	Nb	nr	NR	nrf	PROPN	PROPN	nh	v	PER	o	NR	奇	114
7314	P	p	P	p	ADP	ADP	p	p	p	p	P	在	114
7315	Neqa	b	DT	b	DET	DET	b	a	a	b	DT	整	114
7316	FW	b	DT	b	DET	DET	b	a	a	b	DT	个	114
7317	VH	vn	NN	v	NOUN	NOUN	v	v	vn	v	NN	受	114
7318	VH	vn	NN	v	NOUN	NOUN	v	v	vn	n	NN	刑	114
7319	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	过	114
7320	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	程	114
7321	Ng	f	LC	f	ADP	PART	nd	nd	f	f	LC	中	114
7322	VH	d	AD	v	VERB	ADV	d	d	v	d	AD	没	114
7323	VH	v	VV	vf	VERB	VERB	v	vd	v	v	VV	出	114
7324	VH	m	CD	m	NUM	NUM	m	m	m	m	CD	一	114
7325	VH	q	M	qv	NOUN	NOUN	q	n	m	q	M	声	114
7326	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	114
7327	P	c	AD	vl	VERB	ADV	i	c	v	l	AD	比	115
7328	P	c	AD	vl	VERB	ADV	i	c	v	l	AD	如	115
7329	FW	c	AD	vl	VERB	ADV	i	c	v	l	AD	说	115
7330	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	Rg	PU	，	115
7331	Nh	w	PU	wyz	AUX	PUNCT	wp	w	w	Rg	PU	‘	115
7332	Na	n	NN	a	NOUN	PROPN	n	a	n	Rg	NN	长	115
7333	Na	n	NN	n	NOUN	PROPN	n	n	n	Rg	NN	手	115
7334	Na	n	NN	ng	NOUN	PROPN	n	n	n	Ng	NN	君	115
7335	PARENTHESISCATEGORY	w	PU	wyy	NOUN	PUNCT	wp	w	w	w	PU	’	115
7336	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	115
7337	P	p	P	p	ADP	ADP	p	p	p	p	P	在	116
7338	Nb	n	JJ	a	NOUN	PROPN	z	a	PER	a	JJ	黑	116
7339	Nb	n	JJ	n	NOUN	PROPN	z	n	PER	Rg	JJ	魆	116
7340	Nb	n	JJ	n	PART	PROPN	z	a	PER	Rg	JJ	魃	116
7341	DE	u	DEG	ude1	PART	PART	z	u	u	u	DEG	的	116
7342	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	夜	116
7343	Nc	n	NN	n	NOUN	NOUN	n	n	n	n	NN	空	116
7344	Ncd	f	LC	f	ADP	PART	nd	nd	f	f	LC	中	116
7345	VH	ad	JJ	a	ADJ	ADJ	n	a	ad	ad	JJ	透	116
7346	VH	ad	JJ	a	ADJ	ADJ	n	a	ad	ad	JJ	明	116
7347	FW	v	NN	n	VERB	NOUN	n	n	v	v	NN	画	116
7348	VH	n	VV	d	VERB	NOUN	d	n	ad	a	VV	大	116
7349	VH	n	VV	v	VERB	VERB	d	n	v	v	VV	放	116
7350	VH	n	NN	n	NOUN	PROPN	d	n	a	n	NN	光	116
7351	VH	n	NN	n	NOUN	PROPN	d	n	a	n	NN	明	116
7352	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	116
7353	VG	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	117
7354	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	你	117
7355	VG	d	AD	d	ADV	ADV	d	d	d	d	AD	将	117
7356	VG	v	VV	v	VERB	VERB	v	v	v	v	VV	成	117
7357	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	为	117
7358	Na	j	NN	ng	PROPN	PROPN	v	nt	n	Rg	NN	世	117
7359	Neu	j	CD	m	PROPN	PROPN	v	nt	n	Rg	CD	一	117
7360	Na	j	NN	ng	PROPN	PROPN	v	nt	n	Rg	NN	世	117
7361	Neqa	m	CD	m	PROPN	NUM	v	m	n	Rg	CD	一	117
7362	Neqa	n	NN	n	NOUN	NOUN	v	n	n	n	NN	世	117
7363	Neqa	n	NN	n	NOUN	NOUN	v	n	n	n	NN	界	117
7364	Na	n	NN	n	NOUN	NOUN	v	n	n	vn	NN	皇	117
7365	Na	n	NN	n	NOUN	NOUN	v	n	n	f	NN	后	117
7366	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	117
7367	Dk	c	AD	rzv	DET	ADV	r	c	r	r	AD	那	118
7368	VH	a	VA	a	DET	VERB	r	c	a	a	VA	好	118
7369	T	y	SP	y	VERB	PART	r	u	xc	y	SP	吧	118
7370	VE	w	PU	wyz	PUNCT	PUNCT	wp	w	w	w	PU	“	118
7371	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	118
7372	Neu	m	CD	m	NUM	NUM	m	m	n	m	CD	一	118
7373	Nf	q	M	q	NOUN	NUM	m	q	n	q	M	只	118
7374	Na	n	NN	n	NOUN	NOUN	m	n	n	n	NN	手	118
7375	VL	v	AD	vd	VERB	ADV	m	v	v	vd	AD	使	118
7376	FW	v	AD	vd	PROPN	ADV	m	v	v	vd	AD	劲	118
7377	VL	v	VV	v	PROPN	VERB	v	v	v	v	VV	使	118
7378	VCL	v	VV	vi	PROPN	NOUN	v	v	v	v	VV	住	118
7379	VH	nr	NR	nrf	PROPN	NOUN	nz	nh	PER	a	NR	保	118
7380	VH	nr	NR	nrf	PROPN	NOUN	nz	nh	PER	a	NR	尔	118
7381	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	118
7382	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	肩	118
7383	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	膀	118
7384	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	118
7385	P	p	BA	pba	ADP	X	p	p	p	p	BA	把	118
7386	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	他	118
7387	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	推	118
7388	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	到	118
7389	FW	m	CD	m	NUM	NUM	m	n	m	m	CD	两	118
7390	FW	q	M	q	NOUN	NUM	q	n	m	q	M	个	118
7391	VH	a	JJ	a	NOUN	ADJ	a	a	n	a	JJ	大	118
7392	Na	n	NN	n	NOUN	NOUN	n	n	n	q	NN	茶	118
7393	Na	n	NN	n	PART	NOUN	n	n	n	q	NN	炉	118
7394	Nc	f	LC	f	ADP	VERB	nd	nl	f	f	LC	跟	118
7395	Nc	f	LC	f	NOUN	VERB	nd	nl	f	f	LC	前	118
7396	VC	w	PU	wyy	PUNCT	PUNCT	wp	w	w	w	PU	”	118
