- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
обращаясь к павке и указав на женщину , которую только что назвала фросенькой , зина проговорила : ||| 济 娜 又 指 着 那 个 叫 弗 罗 霞 的 女 工 ， 对 保 尔 说 ：
слезы брызнули из глаз его ; он поехал наудачу . ||| 泪 水 从 他 眼 眶 里 涌 出 来 ， 他 放 马 信 步 走 去 。
— какой несносный ! всё перебивает ... ||| “ 多 么 叫 人 讨 厌 ， 总 是 打 岔 … …
стали взбираться по лестнице , заняли ее во всю длину . ||| 他 们 开 始 走 上 楼 梯 ， 把 楼 梯 全 堵 住 了 。
послышался сдавленный лай ; но ответа не было . ||| 听 得 见 轻 微 的 狗 叫 声 ， 可 是 没 有 人 答 话 。
— очень уж шумят у нас в классах , — говорил он , как бы стараясь отыскать объяснения своему тяжелому чувству . — ни на что не похоже . ||| 我 们 班 上 总 是 闹 哄 哄 的 “ 他 说 ‘ 似 乎 想 解 释 一 下 为 什 么 他 心 情 沉 重 ， 真 不 像 话 '
ну нет ; я бы вам посоветовал отечески или , если больше любите , дружески и забыть о господине рогожине . ||| 哦 ， 不 ， 我 要 像 父 亲 那 样 ， 或 者 ， 如 果 您 更 喜 欢 的 话 ， 像 朋 友 那 样 ， 劝 您 忘 了 罗 戈 任 先 生 。
весь он был оплетен грязною сетью позорных сплетен , в нем не было ни одного человека , о котором не говорили бы злостно . ||| 这 房 子 里 张 着 肮 脏 的 谣 言 网 ， 里 边 没 有 一 个 人 不 被 人 怀 着 恶 意 谈 论 过 。
глазки заплыли , краснеет воспаленная кайма по низу белка ; левую половину груди и толстое плечо стягивает кожаный фехтовальный доспех на ремешках , штаны обвисли на заду . ||| 眼 睛 胖 成 一 条 缝 ， 双 目 下 肿 眼 圈 发 虹 ； 皮 带 上 的 击 剑 皮 铠 甲 把 胸 部 的 左 半 边 和 厚 肩 膀 勒 得 紧 紧 的 ， 裤 子 耷 拉 在 臀 部 上 。
а вот чувство свежо : стоит и сейчас прикрыть глаза — будто во сне . хруст шагов отдается эхом . лицу неприятно ощущение липкой паутины — она была призрачна , как здешний воздух и зарастала тотчас же за спиной . от стеллажей сбоку пахнет карболкой тифозных бараков . ||| 可 是 瞧 ， 感 觉 是 新 鲜 的 ， 脸 上 蛛 网 那 黏 糊 糊 的 感 觉 很 不 好 受 — — 它 是 幽 灵 ， 有 如 这 里 的 空 气 ， 立 刻 爬 满 脊 背 。
о воровстве почему-то и мысли не мелькнуло , да у нас тут и нечего . ||| 我 不 知 为 何 并 没 有 闪 过 遭 偷 窃 的 想 法 ， 况 且 我 们 家 里 也 没 什 么 可 偷 的 。
— почему это не ожидали ? ||| “ 为 什 么 您 没 有 料 到 ？ ”
я словно вывел ее из полусна в жизнь , но ты знаешь , как эта жизнь обернулась для нее с первых шагов . ||| 我 好 像 把 她 从 朦 胧 中 带 进 了 生 活 ， 但 你 知 道 吗 ， 这 一 生 活 对 她 来 说 从 最 初 几 步 就 转 向 了 。
« ничего . даже полезно , — подтверждал из угла бывший бухгалтер . — сюда настоящую землянику кладут , а она чем хороша , — в ней железа больше всего » . ||| “ 没 关 系 。 甚 至 有 益 。 ” 从 前 的 会 计 员 从 角 落 里 证 实 道 。 “ 往 这 里 放 点 真 正 的 草 莓 ， 它 比 什 么 都 好 ， 含 铁 质 最 多 。 ”
– сочетаться ! ||| “ … … 办 结 婚 的 事 儿 ！ ”
я должна рассказать вам… ||| 我 应 该 对 您 说 件 事 … … ”
– а кому роздано ? – в нетерпении спросил остап . ||| “ 都 分 给 谁 了 ？ ” 奥 斯 塔 普 急 切 地 问 道 。
сияли кресты церквей . ||| 教 堂 顶 上 的 十 字 架 在 闪 光 。
все еще переживая нападение белой лошади и чувствуя запоздалое сожаление , что не успел дать извозчику и по шее , остап , шагая через две ступеньки , поднялся до седьмого этажа щукинского дома . ||| 他 仍 然 为 受 到 白 马 的 攻 击 而 耿 耿 于 怀 ， 并 且 后 悔 未 及 再 给 马 车 夫 一 记 耳 光 。 奥 斯 塔 普 一 步 两 层 台 阶 ， 登 上 舒 金 那 幢 楼 房 的 七 层 ，
– так тебе и разрешат держать в камере примус ! ||| “ 牢 房 里 才 不 许 你 用 汽 炉 子 呢 ！
и персицкий , довольный своей выдумкой , так быстро исчез , что дополнительных сведений крахмальная вдовушка получить не успела . ||| 佩 尔 希 茨 基 说 完 马 上 就 没 了 踪 影 ， 衬 裙 上 过 浆 的 寡 妇 根 本 来 不 及 得 到 更 多 的 消 息 。
остап раскрыл объятия . ||| 奥 斯 塔 普 展 开 了 双 臂 。
обращаем внимание на очень красиво расположенный г. чебоксары… ||| 请 注 意 切 博 克 萨 雷 市 异 常 美 丽 的 布 局 …
за станцией ларе сейчас же встала грандиозная стена бокового хребта . ||| 拉 尔 斯 刚 过 ， 立 刻 遇 到 的 便 是 高 大 雄 伟 、 巍 然 壁 立 的 “ 侧 岭 ” 。
– ишь , мальчонка-то какой-то ненормальный , мотается как сумасшедший . ||| 瞧 “ 这 孩 子 像 个 疯 子 似 的 ， 干 起 活 来 不 要 命 ，
они насилу дошли до конца сада . ||| 她 们 好 不 容 易 走 到 花 园 的 尽 头 。
слезы брызнули из глаз его ; он поехал наудачу . ||| 泪 水 从 他 眼 眶 里 涌 出 来 ， 他 放 马 信 步 走 去 。
« я вас люблю , — сказал бурмин , — я вас люблю страстно ... » ( марья гавриловна покраснела и наклонила голову еще ниже . ) ||| ` ` 我 爱 您 ， ' ' 布 尔 明 说 ， ' ' 我 热 烈 地 爱 您 … … ' ' （ 玛 利 亚 · 加 夫 里 洛 夫 娜 脸 红 了 ， 头 栽 得 更 低 。 ）
они изображали историю блудного сына : в первой почтенный старик в колпаке и шлафорке отпускает беспокойного юношу , который поспешно принимает его благословение и мешок с деньгами . ||| 这 几 幅 画 ， 画 的 是 ' ' 浪 子 回 头 ' ' 的 一 套 故 事 。 第 一 幅 ， 一 个 头 戴 便 帽 ， 身 穿 宽 袍 的 可 敬 的 老 人 送 走 一 个 心 气 浮 躁 的 少 年 ， 他 匆 匆 忙 忙 接 受 老 人 的 祝 福 和 一 个 钱 袋 。
котенок слабо пискнул и начал нюхать пол . ||| 小 猫 有 气 无 力 地 叫 了 一 声 ， 就 嗅 起 地 板 来 了 。
сладко быть единственным источником , самовластной и безответной причиной величайших радостей и глубочайшего горя для другого ||| 能 成 为 别 人 最 大 的 快 乐 和 最 深 的 痛 苦 的 唯 一 源 泉 和 绝 对 顺 从 的 根 由 ， 是 令 人 愉 快 的 。
я подошел к ней : она положила мне руку на голову и , внезапно ухватив меня за волосы , начала крутить их . ||| 我 走 到 她 跟 前 ； 她 把 一 只 手 放 在 我 的 头 上 ， 忽 然 一 把 揪 住 我 的 头 发 拧 了 起 来 。
наталья сделала несколько шагов молча . ||| 娜 塔 里 娅 默 默 向 前 走 了 几 步 。
— кто нас пожалеет , коли сами себя не жалеем ... ||| “ 要 是 自 己 都 不 爱 惜 自 己 ， 谁 还 来 爱 惜 我 们 呢 … … ”
и когда я говорил : « страшно ! » — качая головами , восклицали : — ага ! вот видишь ? ||| 当 我 回 答 ： “ 害 怕 ！ ” 他 们 就 摇 着 脑 袋 ， 喊 叫 说 ： “ 啊 哈 ， 你 看 是 吧 ？ ”
он жил тихо , ходил бесшумно , говорил пониженным голосом . ||| 他 总 是 安 分 地 过 活 ， 走 起 路 来 没 有 声 音 ， 说 起 话 来 低 声 低 气 。
порой ему мерещилось нечто совсем уж рискованное . ||| 有 时 他 觉 得 有 某 种 十 分 冒 险 的 东 西 。
как будто не знаешь сам , что газеты надо читать тоже умеючи , а не слово в слово , как будто по роду занятий не приходилось тебе убеждаться , что так называемые мифы бывают для истории и жизни реальней так называемых фактов — даже странно , что кеша бабич должен был напоминать такие вещи тебе , толкователю фантиков . ||| 你 自 己 好 像 不 晓 得 ， 报 纸 也 得 会 看 ， 不 能 逐 字 逐 句 ， 好 像 按 照 工 作 范 围 ， 你 不 需 要 确 信 ， 对 历 史 和 现 实 生 活 中 的 所 谓 事 实 来 说 ， 往 往 是 所 谓 的 胡 扯 — — 甚 至 很 奇 怪 ， 连 克 沙 · 巴 比 奇 都 得 把 这 些 东 西 向 你 这 样 一 位 包 糖 纸 的 注 释 者 作 提 示 。
фонарь на высоком стебле горел вполнакала , розовый , как бутон . ||| 带 罩 的 灯 在 高 高 的 杆 子 上 发 着 昏 暗 的 ， 像 象 玫 瑰 花 蕾 那 般 粉 红 色 的 光 。
— « значит , это бифштекс » . ||| “ 就 是 说 ， 这 是 煎 牛 排 。 ”
стоявший у ресторана теперь сам не понимал , чего еще ждет , не званный на пир . ||| 站 在 饭 店 旁 的 人 现 在 自 己 也 搞 不 清 楚 ， 既 然 未 被 邀 请 参 加 酒 宴 ， 还 在 等 待 什 么 。
как не впустить их в дверь , как укрыться от этой надежды , мольбы , ожидания , требования , угрозы ? ||| 如 何 没 让 他 们 进 门 ， 如 何 隐 瞒 住 这 一 希 望 ， 哀 求 ， 期 望 ， 要 求 和 威 胁 ？
но к той поре и мальчик покинет его , потерявшего силу , отставленного от всех дел инвалида ; он найдет себе новое покровительство и новый особый путь — постепенно взрослевший , но вряд ли особенно прибавлявший в росте , разве что сапожки со скрытыми каблучками да высокая шапка делают его чуть повыше … ||| 但 在 这 之 前 ， 小 男 孩 将 离 开 失 去 力 量 、 抛 却 残 疾 人 一 切 事 务 的 他 ： 他 将 为 自 己 寻 找 新 的 保 护 和 新 的 特 殊 道 路 — — 逐 渐 显 得 成 熟 ， 但 未 必 要 在 个 子 上 有 特 别 增 长 ， 只 要 带 隐 形 鞋 跟 的 皮 革 配 和 高 筒 帽 能 使 他 稍 微 显 得 高 些 即 可 … …
– « исак тут » . ||| “ ‘ 伊 萨 克 也 在 这 儿 。 ’
он чувствовал сильную робость при мысли о том , что неизвестный молодой человек разболтает по всему городу , что приехал бывший предводитель . ||| 他 一 想 到 这 个 陌 生 的 年 轻 人 会 在 城 里 到 处 饶 舌 ， 说 过 去 的 首 席 贵 族 回 来 了 ， 就 感 到 胆 战 心 惊 。
кислярский сделался мраморным . ||| 季 斯 里 亚 尔 斯 基 变 得 脸 色 煞 白 。
концессионеры разостлали на полу газеты . ||| 两 位 合 伙 人 在 地 板 上 铺 了 些 报 纸 。
заботы , знаете ли . ||| 您 知 道 ， 有 不 少 操 心 事 儿 ，
а дворник дома № 5 так и останется дворником , возомнившим о себе хамом » . ||| 而 5 号 楼 那 个 看 门 的 ， 依 旧 还 会 是 个 自 命 不 凡 ， 蛮 不 讲 理 的 守 门 人 。 ”
– продано , – сказал аукционист . ||| “ 成 交 ， ” 拍 卖 师 说 。
эрнест павлович трусливо заходил по площадке . ||| 艾 尔 涅 斯 特 · 巴 甫 洛 维 奇 在 平 台 上 胆 战 心 惊 地 走 来 走 去 。
только спрятаться у дворника ! » ||| 只 能 是 躲 在 门 房 里 。 ”
крик в секретариате продолжался . ||| 书 记 办 公 室 里 的 吵 闹 声 仍 在 继 续 。
на вокзале выяснилось , что театр едет в пятигорск через тихорецкую – минеральные воды . ||| 在 车 站 得 知 ， 剧 团 将 取 道 罗 斯 托 夫 — — 矿 泉 城 ， 前 往 皮 亚 季 戈 尔 斯 克 。
за какой-нибудь камешек меня переправят на ту сторону , а там… » ||| 随 便 给 几 块 宝 石 便 能 让 人 把 我 送 到 那 边 去 ， 尔 后 … … ”
« вот уже третий год , — заключил он , — как живу я без дуни и как об ней нет ни слуху , ни духу . ||| ` ` 眼 看 三 年 了 ， ' ' 最 后 他 说 ， ' ' 我 失 去 了 冬 尼 娅 ， 一 个 人 过 活 ， 得 不 到 她 的 一 丝 风 声 、 半 点 消 息 。
- вот вздор ! какие это гости ! ||| “ 真 是 胡 说 八 道 ！ 这 是 些 什 么 客 人 ！ ”
кругом было и светло и зелено ; ветер шелестил в листьях деревьев , изредка качая длинную ветку малины над головой зинаиды . ||| 四 周 很 明 亮 ， 而 且 苍 翠 欲 滴 ； 风 在 树 叶 间 沙 沙 作 响 ， 偶 尔 摇 曳 着 齐 娜 依 达 头 顶 上 那 株 木 莓 的 长 长 的 枝 条 ，
я взглянул на нее : глаза ее тихо светились , и лицо улыбалось , точно сквозь дымку . ||| 我 瞥 了 一 眼 ： 她 的 眼 睛 闪 烁 着 柔 和 的 光 辉 ， 脸 上 微 露 笑 意 — — 看 过 去 仿 佛 隔 着 一 层 烟 雾 似 的 。
— я пришел с вами проститься , княжна , — отвечал я , — вероятно , навсегда . ||| “ 我 是 来 跟 您 告 别 的 ， 公 爵 小 姐 ， ” 我 答 道 ， “ 大 概 我 们 要 永 别 了 。
— что вы здесь делаете с лошадьми , барчук ? ||| “ 少 爷 ， 您 牵 着 两 匹 马 在 这 儿 干 什 么 ？
— спросит ее m-lle boncourt и начнет бранить ее , говоря , что молодой девице неприлично задумываться и принимать рассеянный вид . ||| “ 您 怎 么 啦 ？ ” ① 邦 库 尔 小 姐 会 这 样 问 她 ， 并 责 怪 她 说 ： 这 样 沉 思 默 想 ， 心 不 在 焉 ， 有 失 小 姐 的 身 份 。 | ① 原 文 为 法 语 。 |
— я вас люблю ! — воскликнул рудин . ||| “ 我 是 爱 您 的 ！ ” 罗 亭 扬 声 说 。
с грустью на лице прошелся он несколько раз взад и вперед по комнате , сел на кресло перед окном , подперся рукою ; слеза тихо выступила на его ресницы ... ||| 他 神 色 黯 然 地 在 房 间 里 走 了 几 遍 ， 然 后 坐 到 窗 前 的 椅 子 上 ， 一 只 手 支 撑 着 身 子 ； 眼 泪 慢 慢 流 出 了 眼 眶 … …
так они катались часа два . ||| 他 们 玩 了 两 个 多 小 时 。
казалось , она и не понимала , к чему он это все ведет , и ждала чего-то . ||| 卡 捷 琳 娜 仍 没 抬 起 眼 睛 。 看 来 ， 她 不 太 明 白 他 话 头 所 指 ， 她 在 等 待 。
— все мое время к вашим услугам , — ответил базаров , у которого что-то пробежало по лицу , как только павел петрович переступил порог двери . ||| “ 我 愿 以 全 部 时 间 为 您 效 劳 ， ” 巴 扎 罗 夫 回 答 。 当 帕 维 尔 · 彼 得 罗 维 奇 跨 进 门 时 ， 他 脸 上 掠 过 一 丝 难 以 言 喻 的 阴 影 。
образованный лакей перепугался насмерть ; но базаров успокоил его уверением , что ему другого нечего будет делать , как только стоять в отдалении да глядеть , и что ответственности он не подвергается никакой . ||| 这 个 有 教 养 的 仆 人 差 点 儿 吓 昏 过 去 ， 不 过 巴 扎 罗 夫 及 时 安 慰 他 说 ， 什 么 事 也 与 他 不 相 干 ， 他 只 消 站 得 远 远 的 看 就 行 ， 不 承 担 任 何 责 任 。
— да , — промолвил он преувеличенно резко . ||| “ 是 呀 ， ” 他 故 意 正 经 八 百 地 说 。
— ну , вылезай , вылезай , почеломкаемся . ||| “ 下 车 吧 ， 下 车 吧 ， 让 咱 们 来 个 见 面 礼 。 ”
— кто такой аркадий николаич ? — проговорил базаров как бы в раздумье . ||| “ 谁 是 阿 尔 卡 季 · 尼 古 拉 伊 奇 ？ ” 巴 扎 罗 夫 像 在 思 索 。
аркадий в ответ пожал ей крепко руку , но не решился громко предложить этот тост . ||| 阿 尔 卡 季 紧 紧 地 握 了 握 她 的 手 表 示 回 答 ， 但 没 敢 出 声 说 出 是 祝 谁 的 酒 。
давно ли он так же мечтал , поджидая сына на постоялом дворике , а с тех пор уже произошла перемена , уже определились , тогда еще неясные , отношения ... и как ! ||| 但 是 啊 ， 自 他 在 马 车 站 等 他 儿 子 归 来 到 现 在 ， 时 间 没 隔 多 久 ， 情 况 却 发 生 了 变 化 ， 那 时 他 有 过 关 于 父 子 关 系 的 模 糊 幻 想 ， 如 今 由 模 糊 而 清 晰 了 … … 而 且 如 此 地 分 明 ！
он был ловкий придворный , большой хитрец и больше ничего ; в делах толку не знал , ума не имел , а умел вести свои собственные дела : тут уж никто не мог его оседлать , а ведь это главное . ||| 总 而 言 之 ， 他 是 个 圆 滑 的 宠 臣 ， 不 懂 得 如 何 理 事 ， 也 没 有 聪 明 才 智 ， 但 有 最 最 要 紧 的 本 领 — — 理 财 。 - - - - - - - -
верите ли , князь , вот ей-богу ! ||| 您 相 信 吗 ， 公 爵 ， ” 这 是 真 的 ！
- лебедев знает ! ||| “ 列 别 杰 夫 是 知 道 的 ！
- о , почти не по делу ! ||| “ 噢 ， 几 乎 不 是 为 了 事 情 ！
-- это как ? -- спросила аделаида с любопытством . ||| “ 这 怎 么 讲 ？ ” 阿 杰 莱 达 好 奇 地 问 。
они ей рассказали , что это я им всё пересказал и что они теперь ее любят и жалеют , и всегда так будут . ||| 他 们 对 她 说 ， 是 我 把 一 切 都 告 诉 了 他 们 ， 所 以 现 在 他 们 也 爱 她 ， 同 情 她 ， 他 们 将 永 远 这 样 对 待 她 。
а тут вдруг наутро приходят и говорят мне , что мари умерла . ||| 突 然 第 二 天 早 晨 有 人 来 说 ， 玛 丽 死 了 。
он наскочил на меня , ударил головой в грудь , опрокинул , уселся верхом на меня и закричал : — жизни али смерти ? ||| 他 扑 过 来 ， 一 头 撞 在 我 的 胸 口 上 ， 把 我 撞 倒 ， 骑 在 我 的 身 上 吆 喝 道 ： “ 要 活 还 是 要 死 ？ ”
они ушли . ||| 她 抱 着 去 了 。
нет , в слова ничего не укладывалось . ||| 不 ， 什 么 也 说 不 清 楚 。
бессилие начиналось , когда они выходили из-под опеки , повзрослев лишь на вид , но имея взрослые возможности и средства для всяких глупостей , несправедливостей , обид , для преступлений и войн . ||| 当 他 们 离 开 监 护 ， 只 是 在 外 表 上 成 为 成 年 人 ， 却 具 有 了 成 年 人 做 各 种 蠢 事 和 犯 罪 、 争 斗 、 不 公 正 的 行 为 ， 具 有 欺 负 人 的 可 能 和 条 件 的 时 候 ， 她 就 开 始 无 能 为 力 。
кровь не успокаивалась прозрачным веществом в глазах , растравленных газами до сырого мяса . ||| 被 毒 瓦 斯 灼 伤 肌 肉 的 眼 睛 里 ， 透 明 的 液 体 未 能 把 血 止 住 。
« да , да , я читал у тебя , — замялся старик . — может , как-нибудь поговорим . у меня тут еще запасник , разместиться негде » . ||| “ 是 的 ， 是 的 ， 我 读 过 你 的 东 西 ， ” 老 人 措 词 艰 难 地 说 ， “ 也 许 我 们 怎 么 也 得 聊 聊 。 我 这 里 还 有 间 备 用 展 品 储 备 间 ， 没 地 方 陈 列 。 ”
схожу . ||| 我 去 了 一 趟 。
сначала из-за угла показался стекольщик с ящиком бемского стекла и буханкой замазки медного цвета . ||| 从 那 里 首 11 见 到 的 是 一 个 背 着 一 匣 子 波 希 米 亚 玻 璃 和 一 团 黄 铜 色 泥 子 的 玻 璃 匠 。
когда к вам зайти ? ||| 什 么 时 候 到 您 这 儿 来 。 ”
потребуется ваша помощь . ||| 将 来 会 需 要 您 的 帮 助 的 ，
чувствовалось приближение огромного железнодорожного узла . ||| 感 觉 得 到 ， 庞 大 的 铁 路 枢 纽 业 已 临 近 ，
невольно и совершенно незаметно для себя она приспосабливала виденную мебель к своей комнате и потребностям . ||| 她 不 由 自 主 ， 不 知 不 觉 总 要 对 她 所 见 到 的 家 具 权 衡 一 番 ： 可 以 摆 在 她 房 间 里 什 么 位 置 ， 以 及 作 何 用 途 。
отцу кириллу скажи , что скоро вернусь : мол , к умирающей тетке в воронеж поехал . ||| 告 诉 基 里 尔 神 父 ， 我 很 快 就 会 回 去 ， 就 说 我 到 沃 龙 涅 日 探 望 病 危 的 姑 妈 了 。
зал потух . слишком дорого . ||| 大 厅 静 了 下 来 ，
– вам мало тридцати тысяч ? ||| “ 三 万 卢 布 您 还 嫌 少 ，
никифор ляпис проник в здание через амбулаторию . ||| 尼 基 福 尔 · 里 亚 皮 斯 则 通 过 诊 疗 所 进 人 大 楼 。
был лунный вечер . ||| 是 一 个 月 朗 之 夜 。
и знаете какую ? ||| 你 们 知 道 是 怎 么 写 的 吗 ？ ‘
– знаю , знаю , – заметила царица , – а токмо волею пославшей тя жены . ||| “ 我 知 道 ， 我 知 道 ， ” 女 皇 说 ， “ 只 是 为 了 妻 子 的 嘱 托 。 ”
это был первый удар большого крымского землетрясения 1927 года . ||| 这 是 一 九 二 七 年 克 里 米 亚 大 地 震 的 第 一 次 震 动 。
ах , киса , черт вас раздери ! ||| 呵 嗬 ， 基 萨 ， 你 这 个 鬼 东 西 ！ ”
он думал о том , как ему явиться домой и что сказать матери , такой заботливой , работающей с утра до поздней ночи кухаркой у акцизного инспектора . ||| 他 想 ， 该 怎 么 回 家 呢 ？ 母 亲 在 税 务 官 家 里 当 厨 娘 ， 每 天 从 清 早 忙 到 深 夜 ， 为 他 操 碎 了 心 ， 该 怎 么 向 她 交 代 呢 ？
в этот самый день , вечером , шел он по литейной , отслужив молебен у всех скорбящих . ||| 就 在 这 一 天 黄 昏 时 候 ， 他 在 救 苦 救 难 大 教 堂 做 了 祷 告 ， 沿 着 翻 砂 街 走 过 去 。
дрожки остановились перед трехэтажным домом , у самого подъезда , и гусар вбежал на крыльцо . ||| 轿 车 停 在 一 栋 三 层 楼 房 的 大 门 前 ， 骠 骑 兵 下 车 跑 上 了 台 阶 。
княжна села , достала связку красной шерсти и , указав мне на стул против нее , старательно развязала связку и положила мне ее на руки . ||| 公 爵 小 姐 坐 下 了 ， 拿 出 一 绞 红 色 毛 线 ， 向 我 指 了 指 她 对 面 的 一 张 椅 子 ， 一 个 劲 儿 地 把 这 绞 毛 线 拆 开 ， 套 在 我 的 两 手 上 。
— вы от дарьи михайловны ? ||| “ 您 是 从 达 丽 娅 · 米 哈 依 洛 芙 娜 那 儿 来 的 吗 ？ ”
это очень идет к вашей взъерошенной прическе ... ||| 这 跟 您 怒 发 冲 冠 的 模 样 倒 是 一 致 的 … …
порицать , бранить имеет право только тот , кто любит . ||| 谁 拥 有 一 颗 爱 心 ， 谁 才 有 否 定 和 指 责 的 权 利 。 ”
она к нему благоволила — но сердце ее оставалось спокойным : он это ясно видел . ||| 她 对 他 也 有 好 感 — — 不 过 她 那 颗 芳 心 依 然 平 静 ， 这 一 点 他 看 得 很 清 楚 。
— худо то , что он не честен . ||| “ 糟 糕 的 是 此 人 很 不 老 实 。
они были холодны , как лед . ||| 罗 亭 赶 紧 迎 上 去 ， 握 住 了 她 的 双 手 。
он не был спокоен . ||| 他 的 内 心 难 以 平 静 。
она уже вчера объявила мне , что должна будет раззнакомиться с вами ... ||| 她 昨 天 就 向 我 宣 布 要 跟 您 绝 交 … …
познакомился он с одной француженкой , прехорошенькой модисткой . ||| 他 认 识 了 一 个 法 国 女 人 ， 一 个 非 常 漂 亮 的 专 做 时 装 的 女 裁 缝 。
базаров объявил ей о своем отъезде не с мыслию испытать ее , посмотреть , что из этого выйдет : он никогда не « сочинял » . ||| 巴 扎 罗 夫 说 要 告 辞 回 家 并 无 试 探 她 反 应 的 意 思 ， 因 为 他 从 不 “ 编 造 ” 。
она усмехнулась . ||| 她 凄 然 一 笑 。
всяко случается . без причины не бьем . ||| 那 得 看 情 况 ， 不 是 无 缘 无 故 才 揍 的 。 ”
послушайте меня , павел петрович , дайте себе денька два сроку , сразу вы едва ли что-нибудь найдете . ||| 请 听 我 说 ， 帕 维 尔 · 彼 得 罗 维 奇 ， 您 且 用 一 两 天 时 间 去 好 好 想 想 ， 一 下 子 怕 难 以 找 到 案 例 的 。
а то , что мы проводим всю жизнь среди бездельников , сутяг , глупых , праздных женщин , говорим и слушаем разный вздор — разве это не футляр ? ||| 至 于 我 们 在 游 手 好 闲 的 懒 汉 、 图 谋 私 利 的 讼 棍 和 愚 蠢 无 聊 的 女 人 们 中 间 消 磨 了 我 们 的 一 生 ， 说 着 并 听 着 各 种 各 样 的 废 话 － 难 道 这 不 是 套 子 －
тот изумился , начал было говорить ; но вдруг оказалось , почти с первого слова , что надобно совершенно изменить слог , диапазон голоса , прежние темы приятных и изящных разговоров , употреблявшиеся доселе с таким успехом , логику -- всё , всё , всё ! ||| 后 者 大 为 惊 讶 ， 刚 开 始 说 话 ， 却 几 乎 从 讲 第 一 句 话 时 起 就 忽 然 发 觉 ， 应 该 完 全 改 变 迄 今 为 止 运 用 得 非 常 成 功 的 表 达 技 巧 、 嗓 子 声 调 、 令 人 愉 快 和 颇 具 雅 兴 的 过 去 的 话 题 ， 还 有 逻 辑 - - 一 切 的 一 切 ！
это необыкновенное по своей красоте и еще почему-то лицо сильнее еще поразило его теперь . ||| 这 张 美 丽 的 非 凡 的 ， 还 有 什 么 不 同 寻 常 的 脸 ， 现 在 更 加 强 烈 地 使 他 惊 异 。
о ! идиот пр-ро-клятый , -- воскликнул он уже совершенно вне себя , -- и рассказать ничего не умеет ! ||| 哦 ！ 该 死 的 白 痴 ， ” 他 已 经 完 全 不 自 禁 地 感 叹 说 ， “ 什 么 都 讲 不 清 楚 ！ ”
- я вам сейчас ваши узлы притащу . ||| “ 我 马 上 去 把 您 的 包 裹 搬 来 。 ”
а ты молчи ! ||| 可 是 ， 你 可 别 乱 说 ！ ”
птицы — вот это всё птицы — спрятались на карнизах . так всегда бывает в дождь . ||| 还 有 鸟 儿 ， 这 些 都 是 鸟 儿 ， 正 躲 在 墙 檐 里 ， 天 下 雨 的 时 候 ， 它 们 就 是 这 样 。
— у кого — оголение ? ||| “ 什 么 人 露 出 左 胸 ？ ”
после салюта от клуба имени красного героя товарища перешейкина по тому же пути медленно движется ярко разукрашенный красными флагами и лозунгами предполагаемых важных событий 1923 года автомобиль . ||| 礼 炮 过 后 ， 从 以 红 色 英 雄 佩 列 舍 伊 金 同 志 命 名 的 俱 乐 部 里 ， 驶 出 一 辆 以 红 旗 和 标 语 装 饰 得 鲜 艳 华 丽 的 汽 车 ， 慢 慢 通 过 这 条 马 路 ， 标 语 上 有 1 9 2 3 年 可 能 发 生 的 重 大 事 件 。
преданная подруга . что ему надо было еще , почему он все от нее убегал ? ( и опять убежал — мелькнула странная , не до конца осознанная мысль . ) ||| 热 忱 的 女 友 。
вы что-то начинали про симеона кондратьевича ? ||| 您 开 始 提 到 西 梅 翁 · 康 德 拉 季 耶 维 奇 的 什 么 书 ？
я был пленен ее заботой , самоотверженной преданностью . ||| 我 被 她 的 关 心 和 忘 我 的 热 忱 所 征 服 。
я же их всех как облупленных знаю . ||| 我 非 常 了 解 他 们 所 有 人 。
жесты его были умеренны и красивы . ||| 他 的 手 势 适 度 而 优 美 。
лиза не могла убежать , потому что номерок от гардероба был у великосветского льва . ||| 丽 莎 无 法 脱 身 ， 因 为 衣 帽 间 的 号 牌 在 贵 族 名 流 那 儿 。
типичные собственники : одноэтажный домик и много разного барахла . ||| 是 些 典 型 的 私 有 者 : 一 幢 小 平 房 ， 屋 里 有 许 多 衣 物 、 家 具 和 破 烂 儿 。
целый час стучал . ||| 我 敲 门 敲 了 整 整 一 个 小 时 。
– послушайте , – сказал вдруг великий комбинатор , – как вас звали в детстве ? ||| “ 您 听 我 说 ， ” 伟 大 谋 士 突 然 说 道 ， “ 您 的 小 名 叫 什 么 ？ ”
« скрябина » не было . ||| “ 斯 克 里 亚 宾 ” 号 尚 不 见 踪 影 。
– да , я могу взять это на себя . ||| “ 是 的 ， 我 能 胜 任 ，
писанное им в баку , из меблированных комнат « стоимость » жене своей в уездный город n ||| 写 于 巴 库 “ 价 值 ” 旅 店 一 个 家 具 齐 全 的 房 间 ， 写 给 N 城 的 妻 子
подвезенный автобусом к конторе закавтопромторга , остап , однако , не поспешил записаться на место в машине . ||| 到 了 外 高 加 索 工 商 运 输 队 的 办 公 地 点 ， 奥 斯 塔 普 并 不 急 于 订 购 汽 车 票 ，
я в два прыжка спустился с развалины — и замер на месте . ||| 我 跳 了 两 跳 就 从 暖 花 房 上 下 来 了 ， 我 站 在 地 上 呆 然 不 动 。
