,ckiptagger,pkuseg,fastHan,PyNLPIR,stanza,spacy,ltp,jiagu,lac,snownlp,target,char,pymorphy,rus
6067,VV,VV,VV,VV,NN,VV,VV,VV,VV,VV,VV,铺,PRTF,проложенный
6068,LC,VV,VV,VV,P,VV,VV,VV,VV,LC,VV,上,PRTF,проложенный
6069,VA,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,沥,NOUN,асфальт
6070,VA,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,青,NOUN,асфальт
6071,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,NOUN,асфальт
6072,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,路,,
6073,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,面,,
6074,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,暴,PRTS,вскрыт
6075,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,露,PRTS,вскрыт
6076,VV,AS,AS,AS,AS,AS,AS,AS,AS,DEG,AS,着,PRTS,вскрыт
6077,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,CONJ,и
6078,LB,LB,LB,LB,VV,BA,LB,LB,LB,NR,LB,被,,
6079,NN,VV,NN,NN,NN,VV,NN,NN,NN,NR,NN,堑,NOUN,траншеей
6080,NN,VV,NN,NN,NN,VV,NN,NN,NN,NR,NN,壕,NOUN,траншеей
6081,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,切,PRTS,пересечен
6082,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,断,PRTS,пересечен
6083,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
6084,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,重,ADJS,важна
6085,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,要,ADJS,важна
6086,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJS,важна
6087,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
6088,VV,VV,VV,VV,NN,VV,VV,VV,VV,VV,VV,公,ADJF,общепринятая
6089,VV,VV,VV,VV,NN,VV,VV,VV,VV,VV,VV,认,ADJF,общепринятая
6090,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,общепринятая
6091,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,、,PUNCT,","
6092,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,具,ADJF,общезначимая
6093,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,有,ADJF,общезначимая
6094,VA,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,VA,JJ,普,ADJF,общезначимая
6095,VA,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,VA,JJ,遍,ADJF,общезначимая
6096,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,意,ADJF,общезначимая
6097,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,义,ADJF,общезначимая
6098,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,общезначимая
6099,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,、,ADJF,общезначимая
6100,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,价,ADJF,общезначимая
6101,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,值,ADJF,общезначимая
6102,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,общезначимая
6103,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,、,,
6104,VV,LC,NN,NN,NN,NN,LC,NN,NN,NR,NN,内,ADJF,внутреннего
6105,NN,LC,NN,NN,NN,NN,LC,NN,NN,NR,NN,外,ADJF,внешнего
6106,NN,LC,NN,NN,DEG,NN,LC,NN,NN,NR,NN,部,NOUN,равновесие
6107,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,平,NOUN,равновесие
6108,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,衡,,
6109,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
6110,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,愿,NOUN,желания
6111,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,望,NOUN,желания
6112,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,和,CONJ,и
6113,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,实,NOUN,осуществления
6114,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,现,NOUN,осуществления
6115,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
6116,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,系,NOUN,система
6117,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,统,NOUN,система
6118,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,…,PUNCT,...
6119,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,…,PUNCT,...
6120,NN,NN,NN,NN,NN,NN,VV,VV,NN,NN,NN,殡,ADJF,погребальная
6121,NN,NN,NN,NN,NN,NN,VV,VV,NN,NN,NN,葬,ADJF,погребальная
6122,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,事,NOUN,контора
6123,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,务,NOUN,контора
6124,AD,NN,NN,NN,DEG,NN,NN,NN,DEG,NN,NN,所,NOUN,контора
6125,AD,PN,AD,AD,AD,AD,PN,PN,PN,PN,AD,怎,CONJ,как
6126,VV,PN,AD,AD,AD,AD,PN,PN,PN,PN,AD,么,CONJ,как
6127,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,安,INFN,сделать
6128,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,排,INFN,сделать
6129,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
6130,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,去,,
6131,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,他,,
6132,VV,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,们,,
6133,SP,SP,SP,DEG,SP,SP,SP,SP,SP,DEG,SP,的,,
6134,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,？,PUNCT,?
6135,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,“,PUNCT,–
6136,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,简,,
6137,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,直,,
6138,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
6139,AD,VV,AD,VV,VV,VV,VV,VV,VV,VV,AD,毫,NOUN,безумие
6140,AD,VE,VE,VV,VE,VE,VE,VE,VE,VV,VE,无,NOUN,безумие
6141,AD,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,头,NOUN,безумие
6142,AD,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,脑,NOUN,безумие
6143,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,！,PUNCT,!
6144,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,“,PUNCT,–
6145,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,你,,
6146,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,吃,,
6147,AD,AD,AD,AD,VV,AD,AD,AD,AD,AD,AD,不,,
6148,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,吃,NOUN,ужин
6149,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,晚,NOUN,ужин
6150,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,饭,NOUN,ужин
6151,SP,SP,SP,SP,SP,SP,SP,SP,SP,DEG,SP,了,CONJ,как
6152,PU,PU,PU,PU,PU,PU,PU,PU,PU,na,PU,？,PUNCT,?
6153,PU,PU,PU,PU,PU,PU,PU,PU,PU,na,PU,”,,
6154,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,“,PUNCT,–
6155,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,您,NPRO,вы
6156,AD,AD,AD,AD,AD,AD,AD,VA,AD,AD,AD,最,,
6157,AD,AD,AD,VA,AD,AD,AD,VA,AD,VA,AD,好,,
6158,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,还,PRCL,все-таки
6159,VC,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,是,PRCL,все-таки
6160,AD,AD,AD,AD,AD,AD,AD,VV,VV,AD,AD,不,PRCL,не
6161,AD,AD,VV,VV,VV,AD,AD,VV,VV,AD,VV,要,,
6162,VV,P,P,P,P,P,P,P,P,P,P,对,NPRO,никому
6163,DT,DT,DT,DT,DT,DT,DT,NR,DT,DT,DT,任,NPRO,никому
6164,DT,DT,DT,DT,DT,DT,DT,NR,DT,DT,DT,何,NPRO,никому
6165,NN,NN,NN,DT,NN,NN,PN,NR,PN,PN,NN,人,NPRO,никому
6166,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,说,VERB,говорите
6167,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,看,VERB,видели
6168,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,见,VERB,видели
6169,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,我,NPRO,меня
6170,SP,SP,SP,SP,SP,SP,SP,SP,SP,DEG,SP,了,VERB,видели
6171,PU,PU,PU,PU,PU,PU,PU,PU,PU,NR,PU,，,PUNCT,","
6172,P,PU,PU,PU,PU,PU,PU,PU,PU,NR,PU,”,PUNCT,–
6173,NR,NR,NR,NR,NR,NR,NR,PN,NR,NR,NR,伊,NOUN,ипполит
6174,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,波,NOUN,ипполит
6175,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,里,NOUN,ипполит
6176,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,特,NOUN,ипполит
6177,NR,NR,NR,NR,PU,NR,NR,PU,NR,PU,NR,·,,
6178,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,马,NOUN,матвеевич
6179,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,特,NOUN,матвеевич
6180,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,韦,NOUN,матвеевич
6181,NR,NR,NR,NR,NR,NR,NR,DEG,NR,NR,NR,耶,NOUN,матвеевич
6182,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,维,NOUN,матвеевич
6183,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,奇,NOUN,матвеевич
6184,NR,VV,VV,VV,VV,VV,VV,VV,VV,NR,VV,恳,VERB,сказал
6185,VV,VV,VV,VV,VV,VV,VV,VV,VV,NR,VV,求,VERB,сказал
6186,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,他,,
6187,PU,PU,PU,PU,PU,PU,PU,PU,PU,h,PU,，,PUNCT,","
6188,PU,PU,PU,PU,PU,PU,PU,PU,PU,h,PU,“,PUNCT,–
6189,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,人,,
6190,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,们,,
6191,AD,VV,AD,VV,AD,AD,VV,VV,VV,NN,AD,可,VERB,могут
6192,AD,VV,AD,VV,AD,AD,VV,VV,VV,NN,AD,能,VERB,могут
6193,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,还,CONJ,и
6194,AD,AD,AD,VA,AD,AD,AD,VA,VA,AD,AD,真,ADVB,впрямь
6195,AD,AD,AD,DEG,AD,AD,AD,VA,VA,AD,AD,的,ADVB,впрямь
6196,P,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,以,INFN,подумать
6197,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,为,INFN,подумать
6198,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,我,NPRO,я
6199,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
6200,NN,CD,CD,CD,CD,AD,CD,mq,CD,CD,CD,一,,
6201,NN,CD,M,M,M,AD,CD,mq,CD,CD,M,个,,
6202,VV,NN,NN,VV,VV,NN,NN,VV,NN,M,NN,叛,NOUN,эмигрант
6203,VV,NN,NN,VV,VV,NN,NN,VV,NN,NN,NN,逃,NOUN,эмигрант
6204,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NN,NN,者,NOUN,эмигрант
6205,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,呢,,
6206,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
6207,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,”,,
6208,NN,NN,NN,NN,NN,VV,NN,NN,NN,NR,NN,坚,NOUN,лед
6209,NN,NN,NN,NN,NN,VV,NN,NN,NN,NR,NN,冰,NOUN,лед
6210,AD,AD,AD,AD,VA,AD,NN,AD,AD,AD,AD,已,,
6211,VV,VV,VV,VV,VA,VV,NN,VA,VV,VV,VV,破,VERB,тронулся
6212,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,！,PUNCT,!
6213,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,通,VERB,вела
6214,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,往,VERB,вела
6215,NN,NN,NN,NN,DEG,NN,VV,NN,NN,NN,NN,楼,ADVB,вверх
6216,NN,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,上,ADVB,вверх
6217,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
6218,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
6219,CD,CD,CD,CD,CD,CD,CD,mq,CD,CD,CD,一,,
6220,M,CD,M,M,M,M,CD,mq,CD,CD,M,个,,
6221,VV,VV,VV,VV,VV,VV,VV,VV,VV,M,VV,分,,
6222,VV,VV,VV,VV,VV,VV,VV,VV,VV,M,VV,作,,
6223,NN,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,两,NUMR,двумя
6224,NN,M,M,M,M,M,M,M,CD,M,M,段,NUMR,двумя
6225,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,,
6226,NN,NN,NN,NN,NN,NR,NN,NN,NN,NR,NN,柞,ADJF,дубовая
6227,NN,NN,NN,NN,NN,NR,NN,NN,NN,NN,NN,木,ADJF,дубовая
6228,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,楼,NOUN,лестница
6229,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,梯,NOUN,лестница
6230,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
6231,NN,NN,NN,NR,NN,NN,NN,NN,NN,NN,NN,梯,NOUN,ступенями
6232,NN,NN,NN,NR,NN,NN,NN,NN,NN,NR,NN,阶,NOUN,ступенями
6233,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,曾,ADVB,некогда
6234,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,经,ADVB,некогда
6235,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,ADJF,лаковыми
6236,VV,VV,VV,NN,VV,VV,VV,VV,NN,VV,VV,漆,ADJF,лаковыми
6237,VA,AS,AS,AS,VV,VV,AS,AS,VV,VV,AS,过,ADJF,лаковыми
6238,SP,SP,SP,DEG,SP,SP,SP,SP,SP,DEG,SP,的,ADJF,лаковыми
6239,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,.
6240,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,“,PUNCT,–
6241,DT,AD,PN,DT,PN,PN,PN,VC,PN,PN,PN,那,,
6242,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,,
6243,VV,VV,PN,PN,PN,PN,PN,PN,PN,PN,PN,谁,ADJF,чье
6244,SP,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,чье
6245,PU,PU,PU,PU,PU,PU,PU,PU,PU,na,PU,？,PUNCT,?
6246,PU,PU,PU,PU,PU,PU,PU,PU,PU,na,PU,”,,
6247,VV,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,这,ADJF,эти
6248,VV,CD,CD,CD,CD,CD,CD,NN,CD,CD,CD,两,NUMR,оба
6249,NN,M,M,M,M,M,M,NN,CD,M,M,家,,
6250,VA,NN,JJ,JJ,JJ,JJ,JJ,JJ,JJ,VA,JJ,不,ADJF,разнородные
6251,VA,NN,JJ,JJ,JJ,JJ,JJ,JJ,JJ,VA,JJ,同,ADJF,разнородные
6252,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,类,ADJF,разнородные
6253,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,型,ADJF,разнородные
6254,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,разнородные
6255,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,企,NOUN,предприятия
6256,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,业,NOUN,предприятия
6257,PU,NN,PU,PU,PU,PU,PU,PU,PU,k,PU,",",,
6258,NN,CS,CS,CS,P,SCONJ,CS,CS,CS,CS,CS,虽,PREP,несмотря
6259,NN,CS,CS,CS,P,SCONJ,CS,CS,CS,CS,CS,然,PREP,несмотря
6260,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,招,NOUN,вывесках
6261,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,牌,NOUN,вывесках
6262,VA,NN,VA,VA,VA,VA,VA,VA,VA,VA,VA,不,NOUN,разницу
6263,VA,NN,VA,VA,VA,VA,VA,VA,VA,VA,VA,同,NOUN,разницу
6264,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
6265,NR,NN,NN,VV,NN,NN,VV,VV,NN,NN,NN,周,ADJF,оборотного
6266,NR,NN,NN,VV,NN,NN,VV,VV,NN,NN,NN,转,ADJF,оборотного
6267,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,资,NOUN,капитала
6268,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,金,NOUN,капитала
6269,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,NOUN,капитала
6270,CD,l,NN,DT,CD,CD,PN,PN,PN,PN,NN,多,NOUN,величине
6271,CD,l,NN,DT,CD,CD,PN,PN,PN,PN,NN,少,NOUN,величине
6272,AD,AD,AD,AD,AD,AD,AD,AD,VV,AD,AD,也,CONJ,и
6273,VE,VE,VE,VE,VE,VE,VE,VE,VE,VV,VE,有,,
6274,NN,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,明,ADJF,ощутительную
6275,NN,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,显,ADJF,ощутительную
6276,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,ощутительную
6277,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,差,NOUN,разницу
6278,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,别,NOUN,разницу
6279,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
6280,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,但,,
6281,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,是,,
6282,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,他,,
6283,NN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,们,,
6284,NN,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,却,,
6285,NN,VA,VV,VV,VV,VV,VV,VV,VV,VV,VV,干,VERB,занимались
6286,NN,AS,AS,AS,VV,AS,AS,AS,AS,DEG,AS,着,VERB,занимались
6287,DT,JJ,DT,P,DT,DT,JJ,VA,VA,JJ,DT,同,PRCL,же
6288,CD,JJ,CD,CD,CD,DT,JJ,VA,VA,JJ,CD,一,PRCL,же
6289,NN,NN,NN,NN,NN,NN,JJ,NN,VA,NN,NN,勾,NOUN,делом
6290,NN,NN,NN,NN,NN,NN,JJ,NN,VA,NN,NN,当,NOUN,делом
6291,PU,PU,PU,PU,PU,PU,JJ,PU,PU,PU,PU,—,PUNCT,:
6292,PU,PU,PU,PU,PU,PU,JJ,PU,PU,PU,PU,—,PUNCT,:
6293,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,NN,纺,,
6294,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,NN,织,,
6295,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NN,NN,品,,
6296,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,,
6297,NN,NN,JJ,NN,JJ,JJ,VV,VV,JJ,JJ,JJ,投,VERB,спекулировали
6298,NN,NN,JJ,NN,JJ,JJ,VV,VV,JJ,JJ,JJ,机,VERB,спекулировали
6299,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,生,NOUN,мануфактурой
6300,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,意,NOUN,мануфактурой
6301,PU,AD,PU,PU,PU,PU,PU,PU,PU,AD,PU,:,PUNCT,–
6302,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,买,,
6303,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,卖,,
6304,VA,JJ,JJ,NN,VV,JJ,JJ,NN,NN,NN,JJ,粗,ADJF,грубошерстной
6305,VA,JJ,JJ,NN,JJ,JJ,JJ,NN,NN,NN,JJ,细,ADJF,грубошерстной
6306,NN,NN,NN,NN,NN,NN,VA,NN,NN,NN,NN,毛,ADJF,грубошерстной
6307,NN,NN,NN,NN,DEG,NN,VA,NN,NN,NN,NN,料,ADJF,грубошерстной
6308,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
6309,NN,VA,AD,AD,VV,JJ,VA,NN,NN,AD,AD,精,ADJF,тонкошерстной
6310,NN,VA,VV,VV,VV,JJ,VA,NN,NN,VV,VV,梳,ADJF,тонкошерстной
6311,NN,NN,NN,NR,NN,NR,VA,NN,NN,NR,NN,毛,ADJF,тонкошерстной
6312,NN,NN,NN,NN,NN,NR,VA,NN,NN,NR,NN,织,ADJF,тонкошерстной
6313,NN,NN,NN,NN,NN,NR,VA,NN,NN,NN,NN,物,ADJF,тонкошерстной
6314,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,、,PUNCT,","
6315,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NN,棉,ADJF,хлопчатобумажной
6316,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NN,织,ADJF,хлопчатобумажной
6317,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NR,NN,品,ADJF,хлопчатобумажной
6318,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
6319,CS,CS,CS,CS,P,SCONJ,CS,CS,CS,CS,CS,如,CONJ,если
6320,CS,CS,CS,CS,P,SCONJ,CS,CS,CS,CS,CS,果,CONJ,если
6321,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,遇,VERB,попадался
6322,VV,VV,VV,VV,VV,VV,VV,VV,VV,LC,VV,上,VERB,попадался
6323,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,花,NOUN,цветов
6324,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,色,NOUN,цветов
6325,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,、,CONJ,и
6326,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,图,NOUN,рисунков
6327,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,案,NOUN,рисунков
6328,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,都,,
6329,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,VA,好,ADJF,хороших
6330,DEC,VA,DEC,DEC,DEC,VV,DEC,DEC,VA,DEC,DEC,的,ADJF,хороших
6331,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,NN,丝,NOUN,шелк
6332,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,NN,织,NOUN,шелк
6333,NN,NN,NN,NN,DEG,NN,NN,NN,NN,VV,NN,品,,
6334,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
6335,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,也,CONJ,и
6336,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,买,,
6337,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,卖,,
6338,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,丝,NOUN,шелком
6339,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,绸,NOUN,шелком
6340,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
6341,NN,NN,NN,NN,NN,NN,NN,NN,NN,VA,NN,老,NOUN,старичка
6342,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,头,NOUN,старичка
6343,VA,NN,NN,NN,NR,NN,NN,NN,NN,NN,NN,儿,NOUN,старичка
6344,VA,NN,NN,NN,NR,VV,NN,NN,NN,NR,NN,脊,NOUN,спина
6345,VA,VV,NN,NN,VV,VV,NN,NN,NN,NR,NN,背,NOUN,спина
6346,VV,VV,VV,VV,VV,VV,NN,VV,VV,NR,VV,动,NOUN,движение
6347,AS,AS,AS,AS,AS,AS,AS,AS,AS,DEG,AS,了,NOUN,движение
6348,VV,VV,VV,VV,VA,NN,VV,VV,VV,VV,VV,动,NOUN,движение
6349,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,CONJ,и
6350,P,VV,P,P,VV,AD,P,P,AD,P,P,往,,
6351,LC,VV,NN,LC,VV,AD,P,LC,AD,LC,AD,上,,
6352,CD,CD,AD,CD,CD,CD,AD,CD,AD,CD,CD,一,,
6353,VV,M,VV,M,NN,VV,AD,VV,VV,VV,NN,拱,,
6354,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,表,VERB,выгнулась
6355,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,示,VERB,выгнулась
6356,VV,VV,NN,NN,NN,NN,VV,VV,NN,VV,NN,肯,VERB,выгнулась
6357,VV,VV,NN,NN,NN,NN,VV,VV,NN,VV,NN,定,VERB,выгнулась
6358,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,,
6359,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,他,,
6360,AD,LC,JJ,LC,JJ,JJ,LC,NN,JJ,LC,JJ,最,ADJF,последняя
6361,NN,LC,JJ,LC,JJ,JJ,LC,NN,JJ,LC,JJ,后,ADJF,последняя
6362,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,последняя
6363,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,一,,
6364,M,M,M,M,M,M,M,M,CD,M,M,位,,
6365,NN,NN,NN,NN,NN,NN,NN,NN,NN,M,NN,情,NOUN,пассия
6366,NN,NN,NN,NN,NN,NN,NN,NN,NN,M,NN,人,NOUN,пассия
